"sourceId","originalDecision","revisedDecision","reason","confidence"
"6580:1","{""headwordIndex"":6580,""translationIndex"":1,""english"":""BUTLER"",""original"":""بتلر"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""register-review"",""reason"":""BUTLER — بتلر: Register or status of this borrowing/form needs evidence. Neither automatic dialect rejection nor unsupported MSA approval."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":6580,""translationIndex"":1,""english"":""BUTLER"",""original"":""بتلر"",""status"":""review"",""register"":""uncertain"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""uncertain"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""Name-like borrowing does not establish the domestic-service role in natural MSA."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Name-like borrowing does not establish the domestic-service role in natural MSA.","high"
"2140:3","{""headwordIndex"":2140,""translationIndex"":3,""english"":""SORRY"",""original"":""آسفه"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""adjective"",""reasonCode"":""orthography-review"",""reason"":""SORRY — آسفه: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2140,""translationIndex"":3,""english"":""SORRY"",""original"":""آسفه"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""adjective"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The final ه needs orthographic review for the feminine sorry adjective."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The final ه needs orthographic review for the feminine sorry adjective.","high"
"2001:1","{""headwordIndex"":2001,""translationIndex"":1,""english"":""ERRORS"",""original"":""اخطاء"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""orthography-review"",""reason"":""ERRORS — اخطاء: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2001,""translationIndex"":1,""english"":""ERRORS"",""original"":""اخطاء"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The intended errors noun lacks the initial hamza."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The intended errors noun lacks the initial hamza.","high"
"2179:1","{""headwordIndex"":2179,""translationIndex"":1,""english"":""CLUBS"",""original"":""اندية"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""orthography-review"",""reason"":""CLUBS — اندية: Recognizable MSA expression with a spelling/hamza/letter or editorial defect. Preserve the original text and defer repair; not classified as dialect for spelling alone."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2179,""translationIndex"":1,""english"":""CLUBS"",""original"":""اندية"",""status"":""review"",""register"":""msa"",""confidence"":""medium"",""allowedForEnToAr"":null,""allowedForArToEn"":null,""preferredForEnToAr"":null,""preferredForArToEn"":null,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The clubs plural lacks the initial hamza."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The clubs plural lacks the initial hamza.","high"
"2533:0","{""headwordIndex"":2533,""translationIndex"":0,""english"":""SAMPLES"",""original"":""العينات"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""valid-alternative"",""reason"":""SAMPLES — العينات: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2533,""translationIndex"":0,""english"":""SAMPLES"",""original"":""العينات"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""Standard plural samples with an article; both directions remain valid."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Standard plural samples with an article; both directions remain valid.","high"
"2533:1","{""headwordIndex"":2533,""translationIndex"":1,""english"":""SAMPLES"",""original"":""عينات"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""reasonCode"":""natural-preferred"",""reason"":""SAMPLES — عينات: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2533,""translationIndex"":1,""english"":""SAMPLES"",""original"":""عينات"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""Natural learner-facing samples noun."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Natural learner-facing samples noun.","high"
"2832:2","{""headwordIndex"":2832,""translationIndex"":2,""english"":""EVIL"",""original"":""شر"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""reasonCode"":""natural-preferred"",""reason"":""EVIL — شر: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2832,""translationIndex"":2,""english"":""EVIL"",""original"":""شر"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""شر naturally names evil as a noun."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","شر naturally names evil as a noun.","high"
"2857:3","{""headwordIndex"":2857,""translationIndex"":3,""english"":""MIXED"",""original"":""المختلط"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""adjective"",""reasonCode"":""valid-alternative"",""reason"":""MIXED — المختلط: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2857,""translationIndex"":3,""english"":""MIXED"",""original"":""المختلط"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""adjective"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The definite mixed adjective is a valid variant."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The definite mixed adjective is a valid variant.","high"
"3583:1","{""headwordIndex"":3583,""translationIndex"":1,""english"":""ACQUISITION"",""original"":""اقتناء"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""reasonCode"":""natural-preferred"",""reason"":""ACQUISITION — اقتناء: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":3583,""translationIndex"":1,""english"":""ACQUISITION"",""original"":""اقتناء"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""Acquisition as obtaining/possession is naturally expressed by اقتناء."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Acquisition as obtaining/possession is naturally expressed by اقتناء.","high"
"2607:0","{""headwordIndex"":2607,""translationIndex"":0,""english"":""RINGS"",""original"":""الحلقات"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""loops"",""reasonCode"":""valid-alternative"",""reason"":""RINGS — الحلقات (loops): Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2607,""translationIndex"":0,""english"":""RINGS"",""original"":""الحلقات"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""loops"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The rings/loops sense is legitimate and separate from finger jewelry."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The rings/loops sense is legitimate and separate from finger jewelry.","high"
"4603:3","{""headwordIndex"":4603,""translationIndex"":3,""english"":""CHRONIC"",""original"":""المزمن"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""adjective"",""reasonCode"":""valid-alternative"",""reason"":""CHRONIC — المزمن: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":4603,""translationIndex"":3,""english"":""CHRONIC"",""original"":""المزمن"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""adjective"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The definite chronic adjective is a valid form."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The definite chronic adjective is a valid form.","high"
"3158:3","{""headwordIndex"":3158,""translationIndex"":3,""english"":""LENS"",""original"":""العدسة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""valid-alternative"",""reason"":""LENS — العدسة: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":3158,""translationIndex"":3,""english"":""LENS"",""original"":""العدسة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The definite lens noun is valid even when another article form is preferred."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The definite lens noun is valid even when another article form is preferred.","high"
"4696:1","{""headwordIndex"":4696,""translationIndex"":1,""english"":""PLEASED"",""original"":""مسرور"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""adjective"",""reasonCode"":""natural-preferred"",""reason"":""PLEASED — مسرور: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":4696,""translationIndex"":1,""english"":""PLEASED"",""original"":""مسرور"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""adjective"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""مسرور naturally means pleased."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","مسرور naturally means pleased.","high"
"2812:0","{""headwordIndex"":2812,""translationIndex"":0,""english"":""PIECES"",""original"":""القطع"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""valid-alternative"",""reason"":""PIECES — القطع: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2812,""translationIndex"":0,""english"":""PIECES"",""original"":""القطع"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""Standard plural pieces with article."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Standard plural pieces with article.","high"
"7624:1","{""headwordIndex"":7624,""translationIndex"":1,""english"":""ENSURES"",""original"":""يضمن"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""verb"",""reasonCode"":""natural-preferred"",""reason"":""ENSURES — يضمن: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":7624,""translationIndex"":1,""english"":""ENSURES"",""original"":""يضمن"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""verb"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""يضمن naturally expresses ensures; competing synonyms do not exclude it."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","يضمن naturally expresses ensures; competing synonyms do not exclude it.","high"
"3131:1","{""headwordIndex"":3131,""translationIndex"":1,""english"":""LINEAR"",""original"":""خطي"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""adjective"",""reasonCode"":""natural-preferred"",""reason"":""LINEAR — خطي: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":3131,""translationIndex"":1,""english"":""LINEAR"",""original"":""خطي"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""adjective"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""خطي is a standard linear adjective, including ordinary mathematical use."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","خطي is a standard linear adjective, including ordinary mathematical use.","high"
"2244:4","{""headwordIndex"":2244,""translationIndex"":4,""english"":""DELETE"",""original"":""حذف"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""verb"",""reasonCode"":""valid-alternative"",""reason"":""DELETE — حذف: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2244,""translationIndex"":4,""english"":""DELETE"",""original"":""حذف"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""verb"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The Arabic action citation can express the English verb delete; no automatic morphology exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The Arabic action citation can express the English verb delete; no automatic morphology exclusion.","high"
"2293:0","{""headwordIndex"":2293,""translationIndex"":0,""english"":""ATOM"",""original"":""ذرة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""reasonCode"":""natural-preferred"",""reason"":""ATOM — ذرة: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2293,""translationIndex"":0,""english"":""ATOM"",""original"":""ذرة"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""Natural atom noun; also a homograph of corn, which crossings can disambiguate."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Natural atom noun; also a homograph of corn, which crossings can disambiguate.","high"
"2212:1","{""headwordIndex"":2212,""translationIndex"":1,""english"":""FORT"",""original"":""الحصن"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""valid-alternative"",""reason"":""FORT — الحصن: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2212,""translationIndex"":1,""english"":""FORT"",""original"":""الحصن"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""Standard fort noun with article."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","Standard fort noun with article.","high"
"1785:2","{""headwordIndex"":1785,""translationIndex"":2,""english"":""COUPLE"",""original"":""ثنائي"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""valid-alternative"",""reason"":""COUPLE — ثنائي: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1785,""translationIndex"":2,""english"":""COUPLE"",""original"":""ثنائي"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""ثنائي can name a duo/couple, a legitimate noun relationship."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","ثنائي can name a duo/couple, a legitimate noun relationship.","high"
"1943:2","{""headwordIndex"":1943,""translationIndex"":2,""english"":""ALONE"",""original"":""وحيد"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""adjective"",""reasonCode"":""natural-preferred"",""reason"":""ALONE — وحيد: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1943,""translationIndex"":2,""english"":""ALONE"",""original"":""وحيد"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""adjective"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""وحيد is a natural alone/solitary adjective."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","وحيد is a natural alone/solitary adjective.","high"
"2289:2","{""headwordIndex"":2289,""translationIndex"":2,""english"":""ADULTS"",""original"":""بالغين"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""valid-alternative"",""reason"":""ADULTS — بالغين: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2289,""translationIndex"":2,""english"":""ADULTS"",""original"":""بالغين"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The oblique plural adults is natural MSA; case morphology does not exclude it."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The oblique plural adults is natural MSA; case morphology does not exclude it.","high"
"2071:3","{""headwordIndex"":2071,""translationIndex"":3,""english"":""TOUCH"",""original"":""اللمس"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""valid-alternative"",""reason"":""TOUCH — اللمس: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2071,""translationIndex"":3,""english"":""TOUCH"",""original"":""اللمس"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""The touching/touch noun is valid with article."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","The touching/touch noun is valid with article.","high"
"2919:2","{""headwordIndex"":2919,""translationIndex"":2,""english"":""EXPORT"",""original"":""تصدير"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""reasonCode"":""natural-preferred"",""reason"":""EXPORT — تصدير: Natural learner-facing equivalent for this English sense; preferred in both directions. Valid synonyms remain allowed."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2919,""translationIndex"":2,""english"":""EXPORT"",""original"":""تصدير"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""تصدير naturally names exporting/export as an activity."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","تصدير naturally names exporting/export as an activity.","high"
"1912:0","{""headwordIndex"":1912,""translationIndex"":0,""english"":""CLAIM"",""original"":""ادعاء"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""valid-alternative"",""reason"":""CLAIM — ادعاء: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":1912,""translationIndex"":0,""english"":""CLAIM"",""original"":""ادعاء"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""ادعاء is a correctly spelled MSA claim noun with hamzat-wasl."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","ادعاء is a correctly spelled MSA claim noun with hamzat-wasl.","high"
"3647:0","{""headwordIndex"":3647,""translationIndex"":0,""english"":""PEARL"",""original"":""اللؤلؤ"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""valid-alternative"",""reason"":""PEARL — اللؤلؤ: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":3647,""translationIndex"":0,""english"":""PEARL"",""original"":""اللؤلؤ"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""اللؤلؤ is the natural collective/material pearl noun."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","اللؤلؤ is the natural collective/material pearl noun.","high"
"2272:1","{""headwordIndex"":2272,""translationIndex"":1,""english"":""STATED"",""original"":""ذكر"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""verb"",""reasonCode"":""valid-alternative"",""reason"":""STATED — ذكر: Valid natural MSA equivalent or grammatical/article variant. Allowed in both directions; nonpreference is not exclusion."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","{""headwordIndex"":2272,""translationIndex"":1,""english"":""STATED"",""original"":""ذكر"",""status"":""approved"",""register"":""msa"",""confidence"":""high"",""allowedForEnToAr"":true,""allowedForArToEn"":true,""preferredForEnToAr"":false,""preferredForArToEn"":false,""partOfSpeech"":""verb"",""reasonCode"":""batch005-qa-independent-pass"",""reason"":""ذكر means stated/mentioned; secondary equivalents remain valid."",""reviewer"":""AI-assisted linguistic review"",""sources"":[]}","ذكر means stated/mentioned; secondary equivalents remain valid.","high"
