"headwordIndex","translationIndex","english","original","status","register","confidence","reasonCode","reason","reviewer","replacement","applied","preferredForEnToAr","preferredForArToEn","directionReason","partOfSpeech","sourceId","beforeStatus","beforeRegister","finalArabic","beforeGrid","afterGrid","referenceArabic","referenceConflict","referenceConflictReason","sense"
"139","2","BEST","ضل","rejected","uncertain","high","incorrect-or-mismatched-equivalent","Truncated/wrong lexical form, not best.","AI-assisted linguistic review","","false","false","false","","","stage3a:h139:t2","review","uncertain","ضل","ضل","ضل","أفضل","false","",""
"139","3","BEST","افضل","review","uncertain","medium","needs-linguistic-confirmation","BEST → افضل: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h139:t3","review","uncertain","افضل","افضل","افضل","أفضل","false","",""
"139","4","BEST","أفضل","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of BEST. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to BETTER, FINEST. Does not restrict EN → AR.","adjective","stage3a:h139:t4","review","uncertain","أفضل","أفضل","أفضل","أفضل","false","",""
"140","0","SOFTWARE","برمجيات","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of SOFTWARE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","true","Reviewer selected a clear everyday reverse clue; no shared-expression conflict in the compatibility pool. Not a guarantee of unique translation in all language contexts.","noun","stage3a:h140:t0","review","uncertain","برمجيات","برمجيات","برمجيات","البرامجيات","false","",""
"140","1","SOFTWARE","البرمجيات","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of SOFTWARE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h140:t1","review","uncertain","البرمجيات","البرمجيات","البرمجيات","البرامجيات","false","",""
"140","2","SOFTWARE","برامج","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of SOFTWARE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to PROGRAMMES, PROGRAMS. Does not restrict EN → AR.","noun","stage3a:h140:t2","review","uncertain","برامج","برامج","برامج","البرامجيات","false","",""
"140","3","SOFTWARE","البرامج","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of SOFTWARE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to PROGRAMMES, PROGRAMS. Does not restrict EN → AR.","noun","stage3a:h140:t3","review","uncertain","البرامج","البرامج","البرامج","البرامجيات","false","",""
"140","4","SOFTWARE","برنامج","review","uncertain","medium","needs-linguistic-confirmation","SOFTWARE → برنامج: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h140:t4","review","uncertain","برنامج","برنامج","برنامج","البرامجيات","false","",""
"140","5","SOFTWARE","البرامجيات","review","uncertain","medium","needs-linguistic-confirmation","SOFTWARE → البرامجيات: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h140:t5","review","uncertain","البرامجيات","البرامجيات","البرامجيات","البرامجيات","true","Reference supports a relationship not certified by this review; reference is not authoritative.",""
"141","0","THEN","اذن","review","uncertain","medium","needs-linguistic-confirmation","THEN → اذن: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h141:t0","review","uncertain","اذن","اذن","اذن","إذاً","false","",""
"141","1","THEN","بعدها","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of THEN. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","adverb","stage3a:h141:t1","review","uncertain","بعدها","بعدها","بعدها","إذاً","false","",""
"141","2","THEN","ثم","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of THEN. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","adverb","stage3a:h141:t2","review","uncertain","ثم","ثم","ثم","إذاً","false","",""
"141","3","THEN","اذا","review","uncertain","medium","needs-linguistic-confirmation","THEN → اذا: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h141:t3","review","uncertain","اذا","اذا","اذا","إذاً","false","",""
"141","4","THEN","إذاً","review","uncertain","medium","needs-linguistic-confirmation","THEN → إذاً: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h141:t4","review","uncertain","إذاً","إذا","إذا","إذاً","true","Reference supports a relationship not certified by this review; reference is not authoritative.",""
"143","0","GOOD","خير","review","uncertain","medium","needs-linguistic-confirmation","GOOD → خير: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h143:t0","review","uncertain","خير","خير","خير","جيد","false","",""
"143","1","GOOD","الخير","review","uncertain","medium","needs-linguistic-confirmation","GOOD → الخير: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h143:t1","review","uncertain","الخير","الخير","الخير","جيد","false","",""
"143","2","GOOD","طيب","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of GOOD. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","adjective","stage3a:h143:t2","review","uncertain","طيب","طيب","طيب","جيد","false","",""
"143","3","GOOD","جيد","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of GOOD. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","adjective","stage3a:h143:t3","review","uncertain","جيد","جيد","جيد","جيد","false","",""
"143","4","GOOD","بخير","review","uncertain","medium","needs-linguistic-confirmation","GOOD → بخير: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h143:t4","review","uncertain","بخير","بخير","بخير","جيد","false","",""
"144","0","VIDEO","بالفيديو","rejected","msa","high","incorrect-or-mismatched-equivalent","Adds the preposition with/by to video.","AI-assisted linguistic review","","false","false","false","","","stage3a:h144:t0","review","uncertain","بالفيديو","بالفيديو","بالفيديو","فيديو","false","",""
"144","1","VIDEO","الفيديو","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of VIDEO. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h144:t1","review","uncertain","الفيديو","الفيديو","الفيديو","فيديو","false","",""
"144","2","VIDEO","فيديو","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of VIDEO. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","true","Reviewer selected a clear everyday reverse clue; no shared-expression conflict in the compatibility pool. Not a guarantee of unique translation in all language contexts.","noun","stage3a:h144:t2","review","uncertain","فيديو","فيديو","فيديو","فيديو","false","",""
"145","0","WELL","حسنا","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of WELL. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to OKAY. Does not restrict EN → AR.","adverb","stage3a:h145:t0","review","uncertain","حسنا","حسنا","حسنا","حسناً","false","",""
"146","0","WHERE","اين","review","uncertain","medium","needs-linguistic-confirmation","WHERE → اين: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h146:t0","review","uncertain","اين","اين","اين","أين","false","",""
"146","1","WHERE","حيث","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of WHERE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","adverb","stage3a:h146:t1","review","uncertain","حيث","حيث","حيث","أين","false","",""
"146","2","WHERE","أين","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of WHERE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","adverb","stage3a:h146:t2","review","uncertain","أين","أين","أين","أين","false","",""
"148","0","RIGHTS","حقوق","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of RIGHTS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","noun","stage3a:h148:t0","review","uncertain","حقوق","حقوق","حقوق","الحقوق","false","",""
"148","1","RIGHTS","الحقوق","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of RIGHTS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h148:t1","review","uncertain","الحقوق","الحقوق","الحقوق","الحقوق","false","",""
"149","0","PUBLIC","الجمهور","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of PUBLIC in the audience sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to AUDIENCE, CROWD. Does not restrict EN → AR.","noun","stage3a:h149:t0","review","uncertain","الجمهور","الجمهور","الجمهور","الجمهور","false","","audience"
"149","1","PUBLIC","عام","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of PUBLIC in the open or general sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to GENERAL, GENERIC, YEAR. Does not restrict EN → AR.","adjective","stage3a:h149:t1","review","uncertain","عام","عام","عام","الجمهور","false","","open or general"
"149","2","PUBLIC","العامة","review","uncertain","medium","needs-linguistic-confirmation","PUBLIC → العامة: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h149:t2","review","uncertain","العامة","العامة","العامة","الجمهور","false","",""
"149","3","PUBLIC","عامة","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of PUBLIC in the open or general sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to GENERAL. Does not restrict EN → AR.","adjective","stage3a:h149:t3","review","uncertain","عامة","عامة","عامة","الجمهور","false","","open or general"
"149","4","PUBLIC","علنية","review","uncertain","medium","needs-linguistic-confirmation","PUBLIC → علنية: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h149:t4","review","uncertain","علنية","علنية","علنية","الجمهور","false","",""
"150","0","BOOKS","كتب","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of BOOKS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to WRITTEN, WROTE. Does not restrict EN → AR.","noun","stage3a:h150:t0","review","uncertain","كتب","كتب","كتب","الكتب","false","",""
"150","1","BOOKS","الكتب","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of BOOKS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to WRITTEN, WROTE. Does not restrict EN → AR.","noun","stage3a:h150:t1","review","uncertain","الكتب","الكتب","الكتب","الكتب","false","",""
"151","0","HIGH","عال","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of HIGH. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to LOUD. Does not restrict EN → AR.","adjective","stage3a:h151:t0","review","uncertain","عال","عال","عال","مرتفع","false","",""
"151","1","HIGH","عالي","review","uncertain","medium","needs-linguistic-confirmation","HIGH → عالي: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h151:t1","review","uncertain","عالي","عالي","عالي","مرتفع","false","",""
"151","2","HIGH","مرتفع","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of HIGH. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","adjective","stage3a:h151:t2","review","uncertain","مرتفع","مرتفع","مرتفع","مرتفع","false","",""
"151","3","HIGH","عالية","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of HIGH. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","adjective","stage3a:h151:t3","review","uncertain","عالية","عالية","عالية","مرتفع","false","",""
"151","4","HIGH","عاليا","review","uncertain","medium","needs-linguistic-confirmation","HIGH → عاليا: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h151:t4","review","uncertain","عاليا","عاليا","عاليا","مرتفع","false","",""
"152","0","SCHOOL","مدرسه","review","uncertain","medium","needs-linguistic-confirmation","SCHOOL → مدرسه: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h152:t0","review","uncertain","مدرسه","مدرسه","مدرسه","مدرسة","false","",""
"152","1","SCHOOL","مدرسة","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of SCHOOL. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","true","Reviewer selected a clear everyday reverse clue; no shared-expression conflict in the compatibility pool. Not a guarantee of unique translation in all language contexts.","noun","stage3a:h152:t1","review","uncertain","مدرسة","مدرسة","مدرسة","مدرسة","false","",""
"152","2","SCHOOL","المدرسة","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of SCHOOL. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h152:t2","review","uncertain","المدرسة","المدرسة","المدرسة","مدرسة","false","",""
"152","3","SCHOOL","المدارس","rejected","msa","high","incorrect-or-mismatched-equivalent","Plural schools, not singular school.","AI-assisted linguistic review","","false","false","false","","","stage3a:h152:t3","review","uncertain","المدارس","المدارس","المدارس","مدرسة","false","",""
"153","0","THROUGH","عبر","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of THROUGH. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to ACROSS, LESSONS, TRANS, VIA. Does not restrict EN → AR.","preposition","stage3a:h153:t0","review","uncertain","عبر","عبر","عبر","عن طريق","false","",""
"153","1","THROUGH","خلال","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of THROUGH. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to DURING. Does not restrict EN → AR.","preposition","stage3a:h153:t1","review","uncertain","خلال","خلال","خلال","عن طريق","false","",""
"153","2","THROUGH","عن طريق","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of THROUGH. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","preposition","stage3a:h153:t2","review","uncertain","عن طريق","عنطريق","عنطريق","عن طريق","false","",""
"154","0","EACH","لكل منها","review","uncertain","medium","needs-linguistic-confirmation","EACH → لكل منها: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h154:t0","review","uncertain","لكل منها","لكلمنها","لكلمنها","لكل منها","true","Reference supports a relationship not certified by this review; reference is not authoritative.",""
"155","0","LINKS","الوصلات","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of LINKS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h155:t0","review","uncertain","الوصلات","الوصلات","الوصلات","روابط","false","",""
"155","1","LINKS","الصلات","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of LINKS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to CONNECTIONS. Does not restrict EN → AR.","noun","stage3a:h155:t1","review","uncertain","الصلات","الصلات","الصلات","روابط","false","",""
"155","2","LINKS","روابط","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of LINKS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to TIES. Does not restrict EN → AR.","noun","stage3a:h155:t2","review","uncertain","روابط","روابط","روابط","روابط","false","",""
"155","3","LINKS","الروابط","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of LINKS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to TIES. Does not restrict EN → AR.","noun","stage3a:h155:t3","review","uncertain","الروابط","الروابط","الروابط","روابط","false","",""
"155","4","LINKS","وصلات","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of LINKS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h155:t4","review","uncertain","وصلات","وصلات","وصلات","روابط","false","",""
"156","0","SHE","انها","review","uncertain","medium","needs-linguistic-confirmation","SHE → انها: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h156:t0","review","uncertain","انها","انها","انها","هي.","false","",""
"156","1","SHE","هي","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of SHE. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to HER. Does not restrict EN → AR.","pronoun","stage3a:h156:t1","review","uncertain","هي","هي","هي","هي.","false","",""
"157","0","REVIEW","المراجعة","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of REVIEW. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to AUDIT, REVISION. Does not restrict EN → AR.","noun","stage3a:h157:t0","review","uncertain","المراجعة","المراجعة","المراجعة","الاستعراض","false","",""
"157","1","REVIEW","استعراض","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of REVIEW. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to REVIEWED, REVIEWING, REVIEWS. Does not restrict EN → AR.","noun","stage3a:h157:t1","review","uncertain","استعراض","استعراض","استعراض","الاستعراض","false","",""
"157","2","REVIEW","الاستعراض","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of REVIEW. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to REVIEWED, REVIEWING, REVIEWS. Does not restrict EN → AR.","noun","stage3a:h157:t2","review","uncertain","الاستعراض","الاستعراض","الاستعراض","الاستعراض","false","",""
"157","3","REVIEW","مراجعة","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of REVIEW. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to AUDIT, REVISION. Does not restrict EN → AR.","noun","stage3a:h157:t3","review","uncertain","مراجعة","مراجعة","مراجعة","الاستعراض","false","",""
"158","0","YEARS","السنين","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of YEARS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h158:t0","review","uncertain","السنين","السنين","السنين","سنوات","false","",""
"158","1","YEARS","اعوام","review","uncertain","medium","needs-linguistic-confirmation","YEARS → اعوام: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h158:t1","review","uncertain","اعوام","اعوام","اعوام","سنوات","false","",""
"158","2","YEARS","سنين","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of YEARS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h158:t2","review","uncertain","سنين","سنين","سنين","سنوات","false","",""
"158","3","YEARS","السنوات","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of YEARS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h158:t3","review","uncertain","السنوات","السنوات","السنوات","سنوات","false","",""
"158","4","YEARS","سنوات","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of YEARS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","noun","stage3a:h158:t4","review","uncertain","سنوات","سنوات","سنوات","سنوات","false","",""
"159","0","ORDER","امر","review","uncertain","medium","needs-linguistic-confirmation","ORDER → امر: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h159:t0","review","uncertain","امر","امر","امر","ترتيب","false","",""
"159","1","ORDER","طلب","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ORDER in the request sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to APPLICATION, DEMAND, ORDERING, REQUEST, REQUESTED, REQUESTING. Does not restrict EN → AR.","noun","stage3a:h159:t1","review","uncertain","طلب","طلب","طلب","ترتيب","false","","request"
"159","2","ORDER","ترتيب","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ORDER in the arrangement sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to ARRANGE, ARRANGEMENT, RANKING. Does not restrict EN → AR.","noun","stage3a:h159:t2","review","uncertain","ترتيب","ترتيب","ترتيب","ترتيب","false","","arrangement"
"159","3","ORDER","الطلب","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ORDER in the request sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to APPLICATION, DEMAND, ORDERING, REQUEST, REQUESTED, REQUESTING. Does not restrict EN → AR.","noun","stage3a:h159:t3","review","uncertain","الطلب","الطلب","الطلب","ترتيب","false","","request"
"159","4","ORDER","النظام","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ORDER in the system or established order sense. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to REGIME, SYSTEM. Does not restrict EN → AR.","noun","stage3a:h159:t4","review","uncertain","النظام","النظام","النظام","ترتيب","false","","system or established order"
"160","0","VERY","جدا","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of VERY. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","","","adverb","stage3a:h160:t0","review","uncertain","جدا","جدا","جدا","جدا","false","",""
"161","0","PRIVACY","خصوصية","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of PRIVACY. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","true","Reviewer selected a clear everyday reverse clue; no shared-expression conflict in the compatibility pool. Not a guarantee of unique translation in all language contexts.","noun","stage3a:h161:t0","review","uncertain","خصوصية","خصوصية","خصوصية","الخصوصية","false","",""
"161","1","PRIVACY","الخصوصية","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of PRIVACY. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h161:t1","review","uncertain","الخصوصية","الخصوصية","الخصوصية","الخصوصية","false","",""
"162","0","BOOK","الكتاب","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of BOOK. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to WRITERS. Does not restrict EN → AR.","noun","stage3a:h162:t0","review","msa","الكتاب","الكتاب","الكتاب","الكتاب","false","",""
"162","1","BOOK","كتاب","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of BOOK. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to WRITERS. Does not restrict EN → AR.","noun","stage3a:h162:t1","review","msa","كتاب","كتاب","كتاب","الكتاب","false","",""
"163","0","ITEMS","الاصناف","review","uncertain","medium","needs-linguistic-confirmation","ITEMS → الاصناف: The remaining form needs confirmation of spelling, inflection, added context or lexical sense; plausibility/reference agreement alone is insufficient.","AI-assisted linguistic review","","false","","","","","stage3a:h163:t0","review","uncertain","الاصناف","الاصناف","الاصناف","البنود","false","",""
"163","1","ITEMS","عناصر","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ITEMS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","true","false","Conservative reverse-clue restriction: the same Arabic expression (ignoring article/punctuation/diacritics for review only) also maps to COMPONENTS, ELEMENTS. Does not restrict EN → AR.","noun","stage3a:h163:t1","review","uncertain","عناصر","عناصر","عناصر","البنود","false","",""
"163","2","ITEMS","بنود","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ITEMS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h163:t2","review","uncertain","بنود","بنود","بنود","البنود","false","",""
"163","3","ITEMS","البنود","approved","msa","high","valid-msa-equivalent","Existing MSA equivalent of ITEMS. Natural display retained; grammatical gender/definiteness alternatives are preserved.","AI-assisted linguistic review","","false","","","","noun","stage3a:h163:t3","review","uncertain","البنود","البنود","البنود","البنود","false","",""
