"headwordIndex","english","referenceArabic","beforeStatus","status","relationships","approved","review","rejected","reason"
"264","SOUTH","الجنوب","review","approved","5","2","2","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"265","CASE","القضية","review","approved","5","4","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"266","PROJECT","مشروع","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"267","SAME","نفس الشيء","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"268","PAGES","صفحات","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"269","VERSION","النسخة","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"270","SECTION","الباب","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"271","OWN","الخاصة بك","review","approved","2","1","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"272","FOUND","وجدت","review","review","3","0","3","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"273","SPORTS","الرياضات","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"274","HOUSE","منزل","review","approved","4","3","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"275","RELATED","ذات صلة","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"276","SECURITY","الأمن","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"277","BOTH","كلاهما","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"278","COUNTY","مقاطعة","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"279","AMERICAN","الأمريكية","review","approved","5","1","4","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"280","PHOTO","الصورة","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"281","GAME","لعبة","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"282","MEMBERS","الأعضاء","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"283","POWER","قوة","review","approved","5","5","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"284","WHILE","بينما","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"285","CARE","الرعاية","review","approved","5","5","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"286","NETWORK","شبكة","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"287","DOWN","أسفل","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"288","COMPUTER","الكمبيوتر","review","approved","5","5","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"289","SYSTEMS","أنظمة","review","approved","5","3","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"290","THREE","ثلاثة","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"291","TOTAL","المجموع","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"292","PLACE","مكان","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"293","END","النهاية","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"294","FOLLOWING","تابع","review","review","1","0","1","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"295","DOWNLOAD","تحميل","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"296","HIM","هو","review","review","2","0","2","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"297","WITHOUT","بدون","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"298","ACCESS","الوصول","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"299","THINK","فكر","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"300","NORTH","الشمال","review","approved","5","2","2","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"301","RESOURCES","الموارد","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"302","CURRENT","الحالي","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"303","POSTS","الوظائف","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"304","BIG","كبير","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"305","MEDIA","وسائط الإعلام","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"306","LAW","القانون","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"307","CONTROL","التحكم","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"308","WATER","المياه","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"309","HISTORY","التاريخ","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"310","PICTURES","الصور","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"311","SIZE","الحجم","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"312","ART","الفن","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"313","PERSONAL","البيانات الشخصية","review","approved","4","2","1","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"314","SINCE","منذ","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"315","INCLUDING","بما فيها","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"316","GUIDE","دليل","review","approved","5","4","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"317","SHOP","متجر","review","approved","5","2","3","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"318","DIRECTORY","الدليل","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"319","BOARD","مجلس الإدارة","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"320","LOCATION","الموقع","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"321","CHANGE","التغيير","review","approved","5","4","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"322","WHITE","أبيض","review","approved","5","2","3","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"323","TEXT","نص","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"324","SMALL","صغير","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"325","RATING","التقييم","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"326","RATE","المعدل","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"327","GOVERNMENT","الحكومة","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"328","CHILDREN","الأطفال","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"329","DURING","خلال","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"331","RETURN","العودة","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"332","STUDENTS","الطلاب","review","approved","5","5","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"333","SHOPPING","التسوق","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"334","ACCOUNT","الحساب","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"335","TIMES","مرات","review","approved","6","2","4","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"336","SITES","المواقع","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"337","LEVEL","الرتبة","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"338","DIGITAL","الرقمية","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"339","PROFILE","الملف الشخصي","review","approved","2","1","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"340","PREVIOUS","السابق","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"341","FORM","الشكل","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"342","EVENTS","الأحداث","review","approved","6","4","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"343","LOVE","الحب","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"344","OLD","قديم","review","approved","5","4","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"346","MAIN","الرئيسية","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"347","CALL","نداء","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"348","HOURS","ساعات","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"349","IMAGE","صورة","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"350","DEPARTMENT","القسم","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"351","TITLE","العنوان","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"352","DESCRIPTION","الوصف","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"353","INSURANCE","التأمين","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"354","ANOTHER","آخر","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"356","SHALL","سوف:","review","review","1","0","1","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"357","PROPERTY","الممتلكات","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"358","CLASS","فئة","review","approved","6","6","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"359","STILL","لا يزال","review","approved","2","1","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"360","MONEY","المال","review","approved","5","3","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"361","QUALITY","الجودة","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"362","EVERY","كل واحد","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"363","LISTING","القائمة","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"364","CONTENT","المحتوى","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"365","COUNTRY","البلد","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"366","PRIVATE","القطاع الخاص","review","approved","5","4","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"367","LITTLE","القليل","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"368","VISIT","زيارة","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"369","SAVE","احفظ","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"370","TOOLS","أدوات","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"371","LOW","منخفض","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"372","REPLY","الرد","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"373","CUSTOMER","العملاء","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"374","DECEMBER","ديسمبر كانون الأول","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"375","COMPARE","مقارنة","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"376","MOVIES","أفلام","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"377","INCLUDE","تشمل","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"378","COLLEGE","كلية","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"379","VALUE","القيمة","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"380","ARTICLE","مقالة","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"382","MAN","رجل","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"383","CARD","بطاقة","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"384","JOBS","وظائف","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"385","PROVIDE","توفير","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"386","FOOD","الأغذية","review","approved","5","5","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"387","SOURCE","المصدر","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"388","AUTHOR","المؤلف","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"389","DIFFERENT","مختلف","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"390","PRESS","صحافة","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"391","LEARN","تعلم","review","approved","5","4","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"392","SALE","بيع","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"393","AROUND","حول","review","approved","3","1","1","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"394","PRINT","طباعة","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"395","COURSE","بالطبع","review","review","1","0","0","1","Suitable headword; no existing equivalent certified with high confidence in this batch."
"396","JOB","الوظيفة","review","approved","5","5","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"398","PROCESS","عملية","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"399","TEEN","مراهق","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"400","ROOM","غرفة","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"401","STOCK","المخزون","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"402","TRAINING","التدريب","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"403","TOO","أيضا","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"404","CREDIT","الائتمان","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"405","POINT","النقطة","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"406","JOIN","انضم","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"407","SCIENCE","العلوم","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"408","MEN","الرجال","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"409","CATEGORIES","الفئات","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"410","ADVANCED","متقدم","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"411","WEST","غربا","review","approved","5","2","2","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"412","SALES","المبيعات","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"413","LOOK","نظرة","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"414","ENGLISH","العربية","review","review","6","0","5","1","Suitable headword; no existing equivalent certified with high confidence in this batch."
"415","LEFT","يسار","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"416","TEAM","الفريق","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"417","ESTATE","العقارات","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"419","CONDITIONS","الشروط","review","approved","5","4","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"420","SELECT","اختر","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"422","PHOTOS","الصور","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"424","THREAD","موضوع","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"425","WEEK","الأسبوع","review","approved","4","1","3","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"426","CATEGORY","الفئة","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"427","NOTE","ملاحظة","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"428","LIVE","بث مباشر","review","approved","7","4","3","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"429","LARGE","كبير","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"430","GALLERY","معرض الصور","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"431","TABLE","الجدول","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"432","REGISTER","التسجيل","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"433","HOWEVER","ومع ذلك","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"434","JUNE","حزيران/يونيه","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"435","OCTOBER","أكتوبر / تشرين الأول","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"436","NOVEMBER","نوفمبر تشرين الثاني","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"437","MARKET","السوق","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"438","LIBRARY","المكتبة العامة","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"440","ACTION","الإجراء المتخذ","review","review","6","0","5","1","Suitable headword; no existing equivalent certified with high confidence in this batch."
"441","START","ابدأ","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"442","SERIES","سلسلة","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"443","MODEL","نموذج","review","approved","5","3","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"444","FEATURES","المميزات","review","approved","6","6","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"445","AIR","الهواء","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"446","INDUSTRY","الصناعة","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"447","PLAN","الخطة","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"448","HUMAN","الإنسان","review","approved","5","3","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"449","PROVIDED","المقدمة","review","review","2","0","2","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"450","YES","نعم فعلا","review","approved","5","2","3","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"451","REQUIRED","مطلوب","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"452","SECOND","الثانية","review","approved","6","3","2","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"453","HOT","حار","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"454","ACCESSORIES","إكسسوارات","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"455","COST","التكلفة","review","approved","4","3","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"456","MOVIE","فيلم","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"457","FORUMS","المنتديات","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"458","MARCH","مسيرة","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"459","SEPTEMBER","سبتمبر/أيلول","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"460","BETTER","أفضل","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"461","SAY","قولي","review","approved","5","3","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"462","QUESTIONS","أسئلة","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"465","GOING","جاري التنفيذ","review","approved","4","3","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"466","MEDICAL","الخدمات الطبية","review","approved","5","4","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"468","FRIEND","صديق","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"469","COME","تعال","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"471","SERVER","خادوم","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"472","STUDY","دراسة","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"473","APPLICATION","التطبيق","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"474","CART","عربة التسوق","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"475","STAFF","الموظفون","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"476","ARTICLES","مقالات","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"478","FEEDBACK","ردود الفعل","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"479","AGAIN","مرة أخرى","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"480","PLAY","إلعب","review","approved","7","5","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"481","LOOKING","يبحث","review","review","3","0","3","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"482","ISSUES","المسائل","review","approved","5","5","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"483","APRIL","أبريل/نيسان","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"484","NEVER","أبداً","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"485","USERS","المستخدمون","review","approved","5","4","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"486","COMPLETE","اكتمل","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"487","STREET","الشارع","review","approved","3","2","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"488","TOPIC","الموضوع","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"489","COMMENT","التعليق","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"490","FINANCIAL","المالية","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"491","THINGS","أشياء","review","approved","5","1","4","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"492","WORKING","العمل","review","approved","3","1","1","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"493","AGAINST","ضد","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"494","STANDARD","معيار","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"495","TAX","الضريبة","review","approved","5","2","0","3","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"496","PERSON","شخص","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"497","BELOW","أدناه","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"498","MOBILE","موبايل","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"499","LESS","أقل","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"500","GOT","حصلت عليه","review","review","2","0","2","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"501","BLOG","مدونة","review","approved","3","2","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"502","PARTY","حزب","review","approved","5","5","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"503","PAYMENT","الدفع","review","approved","5","5","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"504","EQUIPMENT","المعدات","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"505","LOGIN","تسجيل الدخول","review","approved","1","1","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"506","STUDENT","طالب","review","approved","5","5","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"507","LET","دعونا","review","approved","3","1","1","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"508","PROGRAMS","البرامج","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"509","OFFERS","العروض","review","approved","2","2","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"510","LEGAL","قانوني","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"511","ABOVE","أعلاه","review","approved","2","1","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"512","RECENT","الأخيرة","review","approved","2","1","0","1","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"513","PARK","حديقة","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"514","STORES","المخازن","review","approved","5","5","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"515","SIDE","الجانب","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"516","ACT","تصرف","review","approved","4","3","1","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"517","PROBLEM","مشكلة","review","approved","3","3","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"518","RED","أحمر","review","approved","4","2","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"519","GIVE","إعطاء","review","review","3","0","3","0","Suitable headword; no existing equivalent certified with high confidence in this batch."
"520","MEMORY","الذاكرة","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"521","PERFORMANCE","الأداء","review","approved","3","1","2","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
"522","SOCIAL","الاجتماعية","review","approved","4","4","0","0","Suitable general vocabulary with at least one high-confidence approved MSA equivalent."
