priority,category,english,arabic,source_ids,reason,suggestion
"1","repeated-word","COOPER","كوبر كوبر","h4925:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","كوبر"
"1","repeated-word","WALTER","والتر والتر","h4984:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","والتر"
"1","repeated-word","CARL","كارل كارل","h5002:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","كارل"
"1","repeated-word","MORRIS","موريس موريس","h5028:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","موريس"
"1","repeated-word","DOLL","دمية دمية","h5052:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","دمية"
"1","repeated-word","INTRO","مقدمة مقدمة","h5091:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مقدمة"
"1","consolidated-duplicate","FONTS","الخطوط:","h5107:t2 h5107:t0","Consolidated; original display and reference retained in action log",""
"1","repeated-word","WRAP","التفاف التفاف","h5109:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","التفاف"
"1","repeated-word","TRACE","تتبع تتبع","h5156:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","تتبع"
"1","repeated-word","PACKS","حزم حزم","h5160:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","حزم"
"1","repeated-word","TURKISH","التركية التركية","h5177:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","التركية"
"1","repeated-word","ROBIN","روبن روبن","h5239:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","روبن"
"1","repeated-word","VALVE","صمام صمام","h5269:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","صمام"
"1","repeated-word","FREEWARE","مجانية مجانية","h5289:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مجانية"
"1","possibly-malformed","ISLAM","الإسلام”","h5301:t2","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","repeated-word","ADVERSE","السلبية السلبية","h5320:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","السلبية"
"1","repeated-word","DISCHARGE","التفريغ التفريغ","h5325:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","التفريغ"
"1","repeated-word","ACUTE","حاد حاد","h5329:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","حاد"
"1","repeated-word","CAROL","كارول كارول","h5336:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","كارول"
"1","repeated-word","RESISTANT","مقاومة مقاومة","h5347:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مقاومة"
"1","repeated-word","PIERRE","بيير بيير","h5364:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","بيير"
"1","repeated-word","EXTRACT","استخراج استخراج","h5390:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","استخراج"
"1","repeated-word","ACOUSTIC","الصوتية الصوتية","h5424:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الصوتية"
"1","repeated-word","PLANNER","مخطط مخطط","h5449:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مخطط"
"1","repeated-word","SPECTACULAR","مذهلة مذهلة","h5538:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مذهلة"
"1","consolidated-duplicate","NATURALLY","طبيعياً","h5548:t1 h5548:t0","Consolidated; original display and reference retained in action log",""
"1","repeated-word","TONER","الحبر الحبر","h5575:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الحبر"
"1","possibly-malformed","BARCELONA","برشلونة”","h5597:t2","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","repeated-word","JEWS","اليهود اليهود","h5606:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","اليهود"
"1","repeated-word","SUCKING","مص مص","h5648:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مص"
"1","repeated-word","LYNN","لين لين","h5698:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","لين"
"1","repeated-word","AUTOS","السيارات السيارات","h5862:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","السيارات"
"1","repeated-word","PERRY","بيري بيري","h5865:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","بيري"
"1","repeated-word","TAN","تان تان","h5883:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","تان"
"1","repeated-word","BLEND","مزيج مزيج","h5913:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","مزيج"
"1","repeated-word","MARIO","ماريو ماريو","h6024:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ماريو"
"1","repeated-word","STREAMING","تدفق تدفق","h6044:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","تدفق"
"1","possibly-malformed","MOROCCO","المغرب”","h6089:t1","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","repeated-word","STRAIN","سلالة سلالة","h6182:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","سلالة"
"1","repeated-word","FILLING","ملء ملء","h6209:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ملء"
"1","repeated-word","VOCAL","الصوتية الصوتية","h6219:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الصوتية"
"1","repeated-word","CHRISTIANITY","المسيحية المسيحية","h6325:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","المسيحية"
"1","repeated-word","LANDING","الهبوط الهبوط","h6328:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الهبوط"
"1","consolidated-duplicate","EXECUTE","نفّذ","h6412:t2 h6412:t0","Consolidated; original display and reference retained in action log",""
"1","repeated-word","PENDANT","قلادة قلادة","h6472:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","قلادة"
"1","consolidated-duplicate","CLOCKS","الساعات.","h6478:t1 h6478:t0","Consolidated; original display and reference retained in action log",""
"1","repeated-word","KUWAIT","الكويت الكويت","h6537:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الكويت"
"1","repeated-word","TON","طن طن","h6587:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","طن"
"1","consolidated-duplicate","RARELY","نادراً","h6610:t1 h6610:t0","Consolidated; original display and reference retained in action log",""
"1","repeated-word","BARRIER","حاجز حاجز","h6615:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","حاجز"
"1","repeated-word","JAMIE","جيمي جيمي","h6627:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","جيمي"
"1","repeated-word","JEFFREY","جيفري جيفري","h6645:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","جيفري"
"1","repeated-word","JOAN","جون جون","h6654:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","جون"
"1","consolidated-duplicate","SADDAM","صدّام","h6672:t1 h6672:t0","Consolidated; original display and reference retained in action log",""
"1","repeated-word","COGNITIVE","المعرفي المعرفي","h6694:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","المعرفي"
"1","repeated-word","VOLT","فولت فولت","h6701:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","فولت"
"1","repeated-word","STEADY","ثابت ثابت","h6708:t4","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ثابت"
"1","repeated-word","SCREW","المسمار المسمار","h6721:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","المسمار"
"1","repeated-word","RESELLER","موزع موزع","h6731:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","موزع"
"1","repeated-word","BRICK","الطوب الطوب","h6768:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الطوب"
"1","repeated-word","GRIP","قبضة قبضة","h6769:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","قبضة"
"1","possibly-malformed","SYRIA","سوريا”","h6816:t2","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","repeated-word","BIZARRE","غريب غريب","h6841:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","غريب"
"1","repeated-word","BOOM","بوم بوم","h6896:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","بوم"
"1","repeated-word","MIXING","خلط خلط","h6927:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","خلط"
"1","repeated-word","DANNY","داني داني","h7017:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","داني"
"1","consolidated-duplicate","DISABLE","عطّل","h7056:t2 h7056:t0","Consolidated; original display and reference retained in action log",""
"1","consolidated-duplicate","LONELY","وحيداً","h7079:t3 h7079:t1","Consolidated; original display and reference retained in action log",""
"1","consolidated-duplicate","OFFICIALLY","رسمياً","h7105:t1 h7105:t0","Consolidated; original display and reference retained in action log",""
"1","repeated-word","RACKS","رفوف رفوف","h7165:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","رفوف"
"1","possible-dialect","SHAW","شو","h7296:t0","Dialect-like token in an unverified sense; may be a name or transliteration",""
"1","consolidated-duplicate","ZEN","زِن","h7369:t2 h7369:t1","Consolidated; original display and reference retained in action log",""
"1","consolidated-duplicate","BENZ","بنـز","h7408:t1 h7408:t0","Consolidated; original display and reference retained in action log",""
"1","repeated-word","BAILEY","بيلي بيلي","h7426:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","بيلي"
"1","repeated-word","CARROLL","كارول كارول","h7504:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","كارول"
"1","repeated-word","DEEPER","أعمق أعمق","h7528:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","أعمق"
"1","possibly-malformed","MUSLIMS","المسلمين”","h7529:t4","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","repeated-word","YEA","نعم نعم","h7604:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","نعم"
"1","repeated-word","WRAPPING","التفاف التفاف","h7610:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","التفاف"
"1","repeated-word","REEL","بكرة بكرة","h7710:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","بكرة"
"1","repeated-word","BIND","ربط ربط","h7716:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ربط"
"1","repeated-word","URGENT","عاجل عاجل","h7720:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","عاجل"
"1","repeated-word","AQUA","أكوا أكوا","h7743:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","أكوا"
"1","repeated-word","CHEN","شين شين","h7744:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","شين"
"1","consolidated-duplicate","PHYSICALLY","جسدياً","h7763:t2 h7763:t1","Consolidated; original display and reference retained in action log",""
"1","repeated-word","DEPT","قسم قسم","h7842:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","قسم"
"1","repeated-word","PUSHED","دفع دفع","h7887:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","دفع"
"1","repeated-word","PROMINENT","بارز بارز","h7933:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","بارز"
"1","consolidated-duplicate","BYE","وداعاً","h7945:t3 h7945:t2","Consolidated; original display and reference retained in action log",""
"1","consolidated-duplicate","BYE","وداعاً","h7945:t4 h7945:t2","Consolidated; original display and reference retained in action log",""
"1","repeated-word","STICKS","العصي العصي","h7969:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","العصي"
"1","repeated-word","LUTHER","لوثر لوثر","h8031:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","لوثر"
"1","consolidated-duplicate","OMAN","عُمان","h8061:t1 h8061:t0","Consolidated; original display and reference retained in action log",""
"1","repeated-word","PILLOW","وسادة وسادة","h8079:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","وسادة"
"1","repeated-word","JENNY","جيني جيني","h8185:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","جيني"
"1","repeated-word","COATING","طلاء طلاء","h8201:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","طلاء"
"1","repeated-word","COATED","المغلفة المغلفة","h8221:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","المغلفة"
"1","repeated-word","ADAPTOR","محول محول","h8267:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","محول"
"1","repeated-word","UNLOCK","فتح فتح","h8269:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","فتح"
"1","repeated-word","DUBAI","دبي دبي","h8345:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","دبي"
"1","repeated-word","LEON","ليون ليون","h8363:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ليون"
"1","repeated-word","MOLD","العفن العفن","h8365:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","العفن"
"1","repeated-word","DAME","سيدة سيدة","h8366:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","سيدة"
"1","repeated-word","REID","ريد ريد","h8476:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","ريد"
"1","repeated-word","HYDRAULIC","الهيدروليكية الهيدروليكية","h8477:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","الهيدروليكية"
"1","repeated-word","BELLE","بيل بيل","h8484:t1","Immediate repetition may be malformed or intentional; suggestion is NOT applied","بيل"
"1","repeated-word","INTIMATE","حميم حميم","h8554:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","حميم"
"1","repeated-word","NEEDLE","إبرة إبرة","h8589:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","إبرة"
"1","possibly-malformed","BLACKS","السود”","h8649:t1","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","consolidated-duplicate","SURVIVOR","ناجٍ","h8684:t4 h8684:t0","Consolidated; original display and reference retained in action log",""
"1","consolidated-duplicate","LATELY","مؤخراً","h8732:t1 h8732:t0","Consolidated; original display and reference retained in action log",""
"1","possibly-malformed","ITALIA","إيطاليا”","h8800:t0","Missing Arabic letters or suspicious editorial/punctuation residue",""
"1","repeated-word","LOCKING","قفل قفل","h8853:t0","Immediate repetition may be malformed or intentional; suggestion is NOT applied","قفل"
"1","consolidated-duplicate","CLOSES","يُغلق","h8964:t1 h8964:t0","Consolidated; original display and reference retained in action log",""
"1","consolidated-duplicate","CURSOR","المؤشر:","h9211:t2 h9211:t1","Consolidated; original display and reference retained in action log",""
"1","repeated-word","CLEANUP","تنظيف تنظيف","h9228:t2","Immediate repetition may be malformed or intentional; suggestion is NOT applied","تنظيف"
"1","repeated-word","POISON","السم السم","h9295:t3","Immediate repetition may be malformed or intentional; suggestion is NOT applied","السم"
"1","possible-dialect","HECK","هيك","h10560:t0","Dialect-like token in an unverified sense; may be a name or transliteration",""
