english,arabic
powerful,قوية
dream,حلم
obtained,تم الحصول عليها
false,كاذبة
da,دا دا
cast,طاقم التمثيل
flower,زهرة
felt,شعر
personnel,الأفراد
passed,مرت
supplied,الموردة
identified,حُددت
falls,السقوط
pic,الصورة
soul,الروح
aids,الإيدز
opinions,الآراء
promote,الترويج
stated,ذكر
stats,احصائية
hawaii,الهاواي
professionals,المهنيون
appears,يظهر
carry,حمل
flag,العلم
decided,تقرر
nj,نيوجيرسي
covers,أغطية
hr,الموارد البشرية
em,إم
advantage,ميزة
hello,مرحبا
designs,تصاميم
maintain,صيانة
tourism,السياحة
priority,الأولوية
newsletters,النشرات الإخبارية
adults,البالغون
clips,مقاطع
savings,الوفورات
iv,رابعاً
graphic,الرسم البياني
atom,ذرة
payments,المدفوعات
rw,رو
estimated,تقديرات
binding,ملزم
brief,موجز
ended,انتهت
winning,الفوز
eight,ثمانية.
anonymous,مجهول
iron,الحديد
straight,مستقيم مستقيم
script,سكربت
served,خدم
wants,يريد
miscellaneous,متنوعة
prepared,أعدت
void,الفراغ
dining,الطعام
alert,تنبيه تنبيه
integration,التكامل
atlanta,أتلانتا
dakota,داكوتا
tag,وسم
interview,مقابلة
mix,مزيج
framework,الإطار
disk,القرص
installed,مثبت
queen,الملكة
vhs,فهس
credits,أرصدة دائنة
clearly,بوضوح
fix,إصلاح
handle,مقبض
sweet,الحلو الحلو
desk,مكتب
criteria,المعايير
pubmed,البوبميد
dave,دايف
massachusetts,ماساشوسيتس
diego,دييجو
hong,هونغ كونغ
vice,نائب
associate,معاون
ne,ني
truck,شاحنة
behavior,السلوك
enlarge,تكبير
ray,راي راي
frequently,بشكل متكرر
revenue,الإيرادات
measure,التدبير
changing,تغيير
votes,التصويت
du,دو دو
duty,واجب
looked,بدا
discussions,مناقشات
bear,الدب
gain,الكسب
festival,مهرجان
laboratory,مختبر المختبر
ocean,المحيط
flights,الرحلات الجوية
experts,الخبراء
signs,علامات
lack,نقص
depth,العمق
iowa,إيوا
whatever,مهما يكن
logged,تم تسجيل الدخول
laptop,حاسوب محمول
vintage,خمر
train,قطار
exactly,بالضبط
dry,جاف جاف
explore,استكشاف
maryland,ميريلاند ماريلاند
spa,سبا
concept,المفهوم
nearly,تقريبا
eligible,مؤهل
checkout,الخروج
reality,الواقع
forgot,نسيت
handling,المناولة
origin,الأصل
knew,عرفت
gaming,الألعاب
feeds,خلاصات
billion,مليار
destination,الوجهة
scotland,سكوتلاند
faster,أسرع
intelligence,الاستخبارات
dallas,دالاس
bought,اشتري
con,يخدع
ups,أوبس
nations,الأمم
route,الطريق
followed,تابع
specifications,المواصفات
broken,مكسور
tripadvisor,تريب أدفايزر
frank,فرانك
alaska,ألاسكا
zoom,تكبير
blow,ضربة
battle,المعركة
residential,سكني
anime,أنيمي
speak,تحدث
decisions,المقررات
industries,الصناعات
protocol,بروتوكول
query,استعلام
clip,كليب
partnership,الشراكة
editorial,افتتاحية
nt,إن تي
expression,التعبير
es,إس إس
equity,حقوق الملكية
provisions,أحكام
speech,كلمة
wire,سلك
principles,المبادئ
suggestions,اقتراحات
rural,الريف
shared,مشترك
sounds,الأصوات
replacement,الاستبدال
tape,الشريط
strategic,الاستراتيجية
judge,القاضي
spam,البريد المزعج
economics,الاقتصاد
acid,حمض
bytes,بايت
cent,سنت
forced,مجبور
compatible,متوافق
fight,قتال
apartment,شقة
height,الارتفاع
null,لا شيء
zero,صفر صفر
speaker,المتكلم:
filed,رفعت
gb,غيغابايت
netherlands,هولندا”
obtain,الحصول على
bc,بي سي
consulting,الاستشارات
recreation,الترفيه
offices,مكاتب
designer,مصمم
remain,ابقى
managed,تدار
pr,العلاقات العامة
failed,فشل
marriage,الزواج
roll,لفة لفة
korea,كورية
banks,البنوك والبنوك
fr,العربية
participants,المشاركون
secret,سر
bath,حمام
aa,أأ
kelly,كيلي كيلي
leads,خيوط
negative,سلبي
austin,أوستن
favorites,المفضلات
toronto,تورونتو
theater,مسرح
springs,الينابيع
missouri,ميسوري
andrew,أندرو آندرو
var,فار.
perform,أداء
healthy,صحية
translation,الترجمة
estimates,التقديرات
font,الخط
assets,الأصول
injury,إصابة
mt,طن متري
joseph,جوزيف
ministry,الوزارة
drivers,سائقين
lawyer,محام
figures,الأرقام
married,متزوجة
protected,محمية
proposal,مقترح
sharing,المشاركة
philadelphia,فيلادلفيا
portal,البوابة الإلكترونية
waiting,الانتظار
birthday,عيد ميلاد
beta,بيتا
fail,فشل
gratis,دون مقابل
banking,الخدمات المصرفية
officials,المسؤولون
brian,بريان
toward,نحو
won,فاز
slightly,قليلاً
assist,المساعدة
conduct,التصرف
contained,الواردة
lingerie,الملابس الداخلية
legislation,التشريعات
calling,الاتصال
parameters,المعلمات
jazz,الجاز
serving,خدمة
bags,أكياس
profiles,الملفات الشخصية
miami,ميامي
comics,الكوميكس
matters,المسائل
houses,المنازل
doc,دكتورة
postal,البريد
relationships,العلاقات
tennessee,تينيسي
wear,ارتداء
controls,الضوابط
breaking,كسر
combined,مجتمعة
ultimate,نهاية المطاف
wales,واليس
representative,ممثل
frequency,تردد
introduced,مقدمة
minor,قاصر
finish,الانتهاء
departments,الإدارات
residents,المقيمون
noted,ملاحظة
displayed,عرض
mom,أمي
reduced,تخفيض
physics,الفيزياء
rare,نادر
spent,المصروف
performed,أداء
extreme,متطرف
samples,عينات
davis,ديفيز
daniel,دانيل
bars,الحانات
reviewed,الاستعراض
row,صف
oz,أوقية
forecast,التوقعات
removed,أزيلت
helps,يساعد
singles,العزاب
administrator,مدير
cycle,دورة
amounts,المبالغ
contain,تحتوي على
accuracy,دقة
dual,مزدوج
rise,الارتفاع
usd,دولار أمريكي(د)
sleep,النوم
mg,ملغم
bird,الطيور
pharmacy,صيدلية
brazil,برازيل
creation,إنشاء
static,ثابت
scene,مشهد
hunter,صياد
addresses,العناوين
lady,سيدة
crystal,كريستال
famous,مشهور
writer,كاتب
chairman,رئيس مجلس الإدارة
violence,العنف
fans,المعجبين
oklahoma,أوكلاهوما
speakers,المتكلمون
drink,مشروب
academy,أكاديمية
dynamic,ديناميكية
gender,نوع الجنس
eat,تناول الطعام
permanent,دائم
agriculture,الزراعة
dell,ديل ديل
cleaning,التنظيف
constitutes,تشكل
portfolio,محفظة
practical,عملي
delivered,المسلّمة
collectibles,المقتنيات
infrastructure,البنية التحتية
exclusive,حصري حصري
seat,مقعد
concerns,دواعي القلق
colour,اللون
vendor,بائع
originally,الأصل
intel,انتل
utilities,المرافق العامة
philosophy,الفلسفة
regulation,اللائحة التنظيمية
officers,ضباط
reduction,التخفيض
aim,الهدف
bids,المناقصات
referred,المشار إليها
supports,الدعم
nutrition,التغذية
recording,التسجيل
regions,المناطق
junior,صغار
toll,حصيلة
les,ليه
cape,الرأس الرأس
ann,آن آن
rings,حلقات
meaning,المعنى
tip,نصيحة
secondary,الثانوية العامة
wonderful,رائع
mine,الألغام
ladies,سيداتي
henry,هنرى
ticket,تذكرة
announced,أعلن
guess,تخمين
agreed,متفق عليه
prevention,الوقاية
whom,من
ski,التزلج
soccer,كرة القدم
math,الرياضيات
import,استيراد
posting,نشر
presence,الحضور
instant,لحظة
mentioned,ذكر
automatic,التلقائي
healthcare,الرعاية الصحية
viewing,المشاهدة
maintained,صيانة
ch,الفصل
increasing,الزيادة
majority,الأغلبية
connected,متصل
christ,يا إلهي
dan,دان دان
dogs,الكلاب
sd,إس دي
directors,المديرون
aspects,الجوانب
austria,أوستريا
ahead,في المستقبل
moon,القمر
participation,المشاركة
scheme,مخطط
utility,فائدة
preview,معاينة
fly,يطير
manner,طريقة
matrix,المصفوفة
containing,تحتوي على
combination,مزيج
devel,ديفيل
amendment,تعديل
despite,رغم
strength,القوام
guaranteed,مضمونة
turkey,تركيا
libraries,المكتبات
proper,السليم السليم
distributed,وزعت
degrees,الدرجات العلمية
singapore,سينغابور
enterprises,مؤسسات الأعمال
delta,دلتا
fear,الخوف
seeking,البحث
inches,بوصة
phoenix,فينيكس
rs,آر إس
convention,اتفاقية
shares,أسهم
principal,الرئيسية
daughter,ابنة
standing,الوقوف
comfort,الراحة
colors,الألوان
wars,الحروب
cisco,سيسكو
ordering,الطلب
kept,حفظت
alpha,ألفا
appeal,الاستئناف
cruise,رحلة بحرية
bonus,مكافأة
certification,الشهادات
previously,سابقا
hey,مرحباً
bookmark,إشارة مرجعية
buildings,المباني
specials,عروض خاصة
beat,فاز
disney,ديسني
household,الأسرة المعيشية
batteries,بطاريات
adobe,أدوبي
smoking,التدخين
bbc,بي بي سي
becomes,يصبح
drives,محركات الأقراص
arms,الأسلحة
alabama,ألاباما
tea,شاي
improved,تحسن
trees,الأشجار
avg,أفغ
achieve,تحقيق
positions,الوظائف المؤقتة
dress,فستان
subscription,الاشتراك
dealer,تاجر
contemporary,المعاصرة
sky,السماء
utah,يوتاه
nearby,قريب
rom,روم روم
carried,نُقلت
happen,يحدث
exposure,التعرض
panasonic,باناسونيك
hide,إخفاء
permalink,الرابط الثابت
signature,التوقيع
gambling,القمار
refer,إرجع
miller,ميللر
provision,الحكم
outdoors,في الهواء الطلق
clothes,ملابس
caused,سببت
luxury,الفخامة
babes,بنات جميلات
frames,إطارات
certainly,بالتأكيد
indeed,في الواقع
newspaper,صحيفة
toy,لعبة
circuit,دائرة الدائرة
layer,طبقة
printed,المطبوعة
slow,بطيئة بطيئة
removal,الإزالة
easier,أسهل
src,src
liability,المسؤولية القانونية
trademark,العلامة التجارية
hip,الورك
printers,طابعات
faqs,أسئلة وأجوبة
nine,تسعة تسعة
adding,إضافة
kentucky,كنتاكي
mostly,في الغالب
eric,إيريك
spot,بقعة
taylor,تايلور
trackback,تراكباك
prints,مطبوعات
spend,الإنفاق
factory,مصنع مصنع
interior,الداخلية الداخلية
revised,المنقحة
grow,تنمو
americans,والأمريكيين
optical,بصري
promotion,الترويج
relative,نسبي
amazing,مدهش
clock,الساعة
dot,دوت
hiv,فيروس نقص المناعة البشرية
identity,الهوية
suites,الأجنحة والأجنحة
conversion,التحويل
feeling,شعور
hidden,مخفي
reasonable,معقول معقول
victoria,فيكتوريا
serial,المسلسل المسلسل
relief,الإغاثة
revision,تنقيح
broadband,النطاق العريض
influence,التأثير
ratio,نسبة
pda,بدا
importance,الأهمية
rain,المطر
onto,على
dsl,دسل
planet,كوكب
webmaster,مشرف الموقع
copies,نسخ
recipe,وصفة
zum,زوم
permit,تصريح
seeing,رؤية
proof,دليل
dna,الحمض النووي
diff,الاختلاف
tennis,التنس
bass,باس
prescription,وصفة طبية
bedroom,غرفة نوم
empty,فارغ
instance,مثيل
hole,ثقب ثقب
pets,الحيوانات الأليفة
ride,ركوب
licensed,مرخصة
orlando,أورلاندو
specifically,تحديداً
tim,تيم تيم
bureau,المكتب
maine,ماين
sql,متر مربع
represent,تمثل
conservation,الحفظ
pair,زوج
ideal,مثالية
specs,المواصفات المواصفات
recorded,مسجلة
don,دون
pieces,قطعه
finished,انتهى
parks,متنزهات
dinner,العشاء
lawyers,محامون
sydney,سيدني
stress,الإجهاد
cream,كريم
ss,إس إس
runs,تشغيل
trends,الاتجاهات
yeah,أجل
discover,اكتشف
ap,ع ع
patterns,أنماط
boxes,صناديق
louisiana,لويزيانا
hills,التلال
javascript,جافا سكريبت
fourth,الرابعة
nm,نانومتر
advisor,مستشار
mn,مليون دولار
marketplace,السوق
nd,الثانية والثانية
evil,الشر
aware,على علم
wilson,ويلسون
shape,شكل
evolution,التطور
irish,الأيرلندية
certificates,الشهادات
objectives,الأهداف
stations,محطات محطات
suggested,مقترح
gps,نظام تحديد المواقع
op,أوب
remains,بقايا
acc,أسك
greatest,أعظم
firms,شركات
concerned,المعنية
euro,اليورو
operator,المشغل
structures,الهياكل
generic,عام
encyclopedia,الموسوعة
usage,الاستخدام
cap,كاب كاب
ink,حبر
charts,الرسوم البيانية
continuing,مستمرة
mixed,مختلطة
census,تعداد السكان
interracial,بين الأعراق
peak,الذروة
tn,تينيسي
competitive,تنافسية تنافسية
exist,موجودة
wheel,عجلة القيادة
transit,المرور العابر
suppliers,الموردون
salt,ملح
compact,المدمجة
poetry,الشعر
lights,أضواء
tracking,تتبع
angel,ملاك
bell,بيل
keeping,حفظ
preparation,الإعداد
attempt,محاولة
receiving,تلقي
matches,مباريات
accordance,وفقا
width,العرض
noise,الضوضاء
engines,المحركات
forget,انسى
array,صفيف
discussed,نوقشت
accurate,دقيقة
stephen,وستيفن
elizabeth,اليزابيث
climate,المناخ
reservations,التحفظات
pin,دبوس
playstation,بلاي ستيشن
alcohol,الكحول
greek,اليونانية اليونانية
instruction,تعليمات
managing,الإدارة
annotation,الشروح
sister,اختي
raw,الخام
differences,الاختلافات
walking,المشي
explain,شرح
smaller,أصغر
newest,الأحدث
establish,إنشاء
gnu,غنو
happened,حدث
expressed,معبر عنها
jeff,جيف
extent,المدى
sharp,حاد
lesbians,مثليات
ben,بن بن
lane,لين
paragraph,فقرة
kill,قتل قتل
mathematics,الرياضيات
aol,آول
compensation,التعويض
ce,م م
export,تصدير
managers,المديرون
aircraft,الطائرات
modules,الوحدات النمطية
sweden,سويدن
conflict,الصراع
conducted,أجريت
versions,إصدارات
employer,رب العمل
occur,تحدث
percentage,النسبة المئوية
knows,يعرف
mississippi,ميسيسيبي
describe,وصف
concern,قلق
backup,النسخ الاحتياطي
requested,طلب
citizens,المواطنون
connecticut,كونيكتيكت
heritage,التراث
personals,شخصيات شخصية
immediate,فوري
holding,عقد عقد
trouble,مشكلة
spread,انتشار
coach,مدرب
kevin,كيفن
agricultural,الزراعية
expand,توسيع
supporting,الدعم
audience,الجمهور
assigned,المعينة
jordan,جوردان
collections,المجموعات
ages,الأعمار
participate,شارك
plug,قابس كهرباء
specialist,أخصائي
cook,طباخ
affect,التأثير
virgin,عذراء
experienced,ذوي الخبرة
investigation,التحقيق
raised,رفعت
hat,قبعة
institution,مؤسسة
directed,موجهة
dealers,التجار
searching,البحث
sporting,الرياضة
helping,المساعدة
perl,بيرل
affected,المتضررين
lib,ليب
bike,الدراجة
totally,تماما
plate,لوحة
expenses,المصروفات
indicate,تشير إلى
blonde,شقراء
ab,أ ب
proceedings,الإجراءات
favourite,المفضلة
transmission,الإرسال
anderson,أندرسن
utc,يو تي سي
characteristics,الخصائص
der,دير دير
lose,خسارة
organic,العضوية العضوية
seek,ابحث
experiences,الخبرات
albums,الألبومات
cheats,الغشاشون
extremely,للغاية
verzeichnis,فيرزيتشنيس
contracts,العقود
guests,الضيوف
hosted,المستضافة
diseases,الأمراض
concerning,بشأن
developers,المطورين
equivalent,مكافئ
chemistry,الكيمياء
tony,توني توني
neighborhood,حي الحي
nevada,نيفادا
kits,مجموعات
thailand,تايلاندية
variables,المتغيرات
agenda,جدول الأعمال
anyway,على أية حال
continues,تابع
tracks,المسارات
advisory,استشارات
cam,كام
curriculum,المنهج الدراسي
logic,المنطق
template,قالب قالب
prince,الأمير
circle,دائرة
soil,التربة
grants,المنح
anywhere,في أي مكان
psychology,علم النفس
responses,الردود
atlantic,الأطلنطي
wet,رطب
circumstances,الظروف
edward,ادوارد
investor,مستثمر
identification,تحديد الهوية
ram,رام
leaving,المغادرة
wildlife,الحياة البرية
appliances,الأجهزة المنزلية
matt,مات مات
elementary,ابتدائي
cooking,الطبخ
speaking,يتحدث
sponsors,مقدمو مشروع القرار
fox,الثعلب
unlimited,غير محدود
respond,الرد
sizes,الأحجام
plain,عادي
exit,مخرج الخروج
entered,دخلت
iran,إيراني
arm,ذراع
keys,المفاتيح
launch,الإطلاق
wave,موجة
checking,التحقق
costa,كوستا(أ)
belgium,بلجيوم
printable,قابل للطباعة
holy,المقدسة المقدسة
acts,الأفعال
guidance,التوجيه
mesh,مش
trail,درب درب
enforcement,الإنفاذ
symbol,رمز
crafts,الحرف اليدوية
highway,الطريق السريع
buddy,الأصدقاء
hardcover,غلاف فني
observed,لوحظ
dean,عميد الكلية
setup,الإعداد
poll,استطلاع الرأي
booking,الحجز
glossary,مسرد المصطلحات
fiscal,المالية العامة
celebrity,المشاهير
styles,أنماط
denver,دنفر
unix,يونيكس
filled,ملئ
bond,السند
channels,القنوات
ericsson,إريكسون
appendix,التذييل
notify,إخطار
blues,البلوز
chocolate,الشوكولاته
pub,حانة
portion,جزء
scope,النطاق
hampshire,هامبشاير
supplier,المورد
cables,كابلات
cotton,القطن
bluetooth,البلوتوث
controlled,تسيطر عليها
requirement,شرط
authorities,السلطات
biology,علم الأحياء
dental,طب الأسنان
killed,قتل
border,الحدود
ancient,القديمة
debate,المناقشة
representatives,الممثلون
starts,يبدأ
pregnancy,الحمل
causes,الأسباب
arkansas,أركانساس
biography,السيرة الذاتية
leisure,أوقات الفراغ
attractions,مناطق الجذب السياحي
learned,متعلم
transactions,المعاملات
notebook,دفتر ملاحظات
explorer,المستكشف
historic,التاريخية
attached,مرفق
opened,فتح
tm,طن متري
husband,الزوج
disabled,معاق
authorized,المأذون بها
crazy,مجنون
upcoming,القادمون
britain,بريطانيا العظمى
concert,حفلة موسيقية
retirement,التقاعد
scores,عشرات
financing,التمويل
efficiency,الكفاءة
sp,سبيس
comedy,كوميديا
adopted,اعتمد
efficient,كفاءة
weblog,مدونة الويب
linear,خطي
commitment,الالتزام
specialty,التخصص
bears,الدببة
jean,جين جين
hop,هوب
carrier,الناقل
edited,حرّر
constant,ثابت
visa,تأشيرة الدخول
mouth,الفم
jewish,اليهودى
meter,متر
linked,مرتبط
portland,بورتلاند
interviews,مقابلات
concepts,المفاهيم
nh,غير متوفر
gun,بندقية بندقية
reflect,تعكس
pure,نقية
deliver,تسليم
wonder,عجب
lessons,الدروس المستفادة
fruit,الفاكهة
begins,يبدأ
qualified,مؤهلون
reform,الإصلاح
lens,عدسة
alerts,تنبيهات
treated,المعالجة
discovery,اكتشاف
draw,اسحب
mysql,ميسكل
classified,مصنفة
relating,المتصلة
assume,افترض
confidence,الثقة
alliance,التحالف
fm,اف ام
confirm,أكّد
warm,دافئ دافئ
neither,ولا حتى
lewis,لويس لويس
howard,هوارد
offline,غير متصل
leaves,أوراق الشجر
engineer,مهندس
lifestyle,أسلوب الحياة
consistent,متسقة
replace,يستعاض عن
clearance,إزالة الألغام
connections,اتصالات
inventory,قائمة الجرد
converter,المحول
organisation,المنظمة
babe,فاتنة
checks,الشيكات
reached,تم الوصول
becoming,أن تصبح
safari,رحلات السفاري
objective,الهدف
indicated,مبينة
sugar,السكر
crew,الطاقم
legs,الساقين
sam,سام سام
stick,عصا
securities,الأوراق المالية
allen,ألين
pdt,بي دي تي
relation,العلاقة
enabled,مكّن
genre,النوع
slide,الشريحة
montana,مونتانا
volunteer,متطوع
tested,اختبارها
rear,الخلفية الخلفية
democratic,ديمقراطية
enhance,تعزيز
switzerland,سويتزرلاند
exact,دقيق
bound,ملزمة
parameter,معلمة
adapter,محول
processor,المعالج
node,عقدة
formal,رسمي رسمي
dimensions,الأبعاد
contribute,المساهمة
lock,قفل قفل
hockey,الهوكي
storm,عاصفة عاصفة
micro,مايكرو
colleges,الكليات
laptops,أجهزة كمبيوتر محمولة
mile,ميل
showed,أظهر
challenges,التحديات
editors,المحررين
mens,رجالي
threads,المواضيع
bowl,وعاء
supreme,العليا العليا
brothers,الاخوة
recognition,الاعتراف
presents,هدايا
ref,المرجع
tank,دبابة
submission,تقديم الطلب
dolls,دمى
estimate,التقديرات
encourage,تشجيع
navy,البحرية
kid,طفل
regulatory,التنظيمية
inspection,التفتيش
consumers,المستهلكون
cancel,إلغاء
limits,حدود
territory,الإقليم
transaction,المعاملات
manchester,مانشيستر
weapons,الأسلحة
paint,الطلاء الطلاء
delay,تأخير
pilot,طيار
outlet,منفذ منفذ
contributions,المساهمات
continuous,مستمر
db,ديسيبل
czech,التشيكي
resulting,الناتجة
cambridge,كامبردج
initiative,مبادرة
novel,رواية
pan,عموم
execution,التنفيذ
disability,العجز
increases,الزيادات
ultra,الترا
winner,الفائز
idaho,إيداهو
contractor,المتعاقد
ph,ف
episode,حلقة
examination,امتحان
potter,بوتر
dish,طبق طبق
plays,المسرحيات
bulletin,نشرة
ia,آيا
pt,بي تي
indicates,يشير إلى
modify,تعديل
oxford,أوكسفورد
adam,آدم
truly,حقا
epinions,التأثيرات
painting,اللوحة
committed,ملتزم
extensive,واسعة النطاق
affordable,بأسعار معقولة
universe,الكون
candidate,المرشح
databases,قواعد البيانات
patent,براءة اختراع
slot,فتحة
psp,بسب
outstanding,غير المسددة
ha,ها
eating,الأكل
perspective,منظور
planned,المخطط لها
watching,مشاهدة
lodge,لودج
messenger,رسول
mirror,مرآة
tournament,البطولة
consideration,النظر في المسألة
ds,دس
discounts,خصومات
sterling,الاسترليني
sessions,الدورات
kernel,نواة
stocks,المخزونات
buyers,المشترين
journals,الدوريات
gray,رمادي
catalogue,الفهرس
ea,إيا
jennifer,جينيفر
antonio,أنطونيو
charged,مشحونة
broad,واسع
taiwan,تايوان
und,الأمم المتحدة
chosen,مختار
demo,تجريبي
greece,غريس
lg,الغرام
swiss,سويس
sarah,ساره
clark,كلارك
labour,اليد العاملة
hate,الكراهية
terminal,محطة طرفية
publishers,الناشرون
nights,الليالي
behalf,نيابة
caribbean,منطقة البحر الكاريبي
liquid,سائل
rice,الأرز
nebraska,نبراسكا
loop,حلقة
salary,المرتب
reservation,تحفظ
foods,الأغذية
gourmet,الذواقة
guard,حارس
properly,بشكل صحيح
orleans,أورليانز
saving,الادخار
nfl,نفل
remaining,المتبقي
empire,إمبراطورية
resume,استئنف
twenty,عشرون
newly,جديد
raise,رفع
prepare,إعداد
avatar,الأفاتار
gary,غاري
depending,حسب
illegal,غير قانوني
expansion,التوسع
vary,تختلف
hundreds,المئات
rome,رومان
arab,عربى
lincoln,لينكون
helped,مساعدة
premier,رئيس الوزراء
tomorrow,غداً
purchased,تم شراؤها
milk,حليب حليب
decide,تقرر
consent,الموافقة
drama,دراما
visiting,زيارة
performing,الأداء
downtown,وسط المدينة
keyboard,لوحة المفاتيح
contest,مسابقة
collected,تم جمعها
nw,نانوواط
bands,العصابات
boot,التمهيد
suitable,مناسب
ff,وما يليها
absolutely,بكل تأكيد
millions,ملايين
lunch,الغداء
audit,مراجعة الحسابات
push,ادفع
chamber,غرفة
guinea,غينيا
findings,النتائج
muscle,عضلة
featuring,المميزات
iso,إيزو
implement,التنفيذ
clicking,النقر
scheduled,مجدول
polls,استطلاعات الرأي
typical,نموذجي
tower,برج البرج
yours,لكِ
sum,المجموع
misc,ميسك
calculator,آلة حاسبة
significantly,بشكل ملحوظ
chicken,دجاج دجاج
temporary,مؤقت
attend,الحضور
shower,دش
alan,آلان
sending,ارسال
jason,جايسون
tonight,الليلة
dear,عزيزى
sufficient,كفاية كافية
holdem,هولدم
shell,قذيفة
province,محافظة
catholic,الكاثوليكي
oak,البلوط
vat,ضريبة القيمة المضافة
awareness,الوعي
vancouver,فانكوفر
governor,الحاكم
beer,البيرة
seemed,بدا
contribution,المساهمة
measurement,القياس
swimming,السباحة
spyware,برامج التجسس
formula,صيغة
constitution,الدستور
packaging,التعبئة والتغليف
solar,الطاقة الشمسية
jose,جوسي
catch,الصيد
jane,جاين
pakistan,باكستاني
ps,ملاحظة:
reliable,موثوق بها
consultation,التشاور
northwest,شمال غرب
sir,سيدي
doubt,شك
earn,كسب
finder,مكتشف
unable,غير قادر
periods,فترات
classroom,الفصول الدراسية
tasks,المهام
democracy,الديمقراطية
attacks,الهجمات
kim,كيم كيم
wallpaper,ورق الجدران
merchandise,البضائع
const,كونست
resistance,مقاومة
doors,أبواب
symptoms,الأعراض
resorts,المنتجعات
biggest,أكبر
memorial,نصب تذكاري
visitor,زائر
twin,توأم
forth,رابعا
insert,إدراج
baltimore,بالتيمور
gateway,بوابة
ky,كي كي
dont,دونت
alumni,الخريجين
drawing,رسم الرسم
candidates,المرشحون
charlotte,شارلوت
ordered,أمرت
biological,البيولوجية
fighting,القتال
transition,المرحلة الانتقالية
happens,يحدث
preferences,التفضيلات
spy,جاسوس
romance,الرومانسية
instrument,الصك
bruce,بروس
split,انقسام
themes,المواضيع
powers,السلطات
heaven,السماء
br,ب ر
bits,بتات
pregnant,حامل
twice,مرتين
classification,تصنيف
focused,مركزة
egypt,مصرية
physician,طبيب
hollywood,هوليود
bargain,صفقة
wikipedia,ويكيبيديا
cellular,خلوي
norway,نورواي
vermont,فيرمونت
asking,اسأل
blocks,كتل
normally,عادة
lo,لو لو
spiritual,الروحية
hunting,الصيد
diabetes,السكري
suit,بدلة
ml,مل
shift,التحول
chip,رقاقة
res,رس
sit,الجلوس
bodies,الهيئات
photographs,الصور الفوتوغرافية
cutting,قطع القطع
wow,نجاح باهر
simon,سايمون
writers,الكتاب
marks,علامات
flexible,مرنة
loved,محبوب
favourites,المفضلات
mapping,رسم الخرائط
numerous,عديدة
relatively,نسبيا
birds,الطيور
satisfaction,الرضا
represents,يمثل
char,تشار
indexed,مفهرس
pittsburgh,بيتسبورغ
superior,متفوقة
preferred,مفضل
saved,محفوظ
paying,الدفع
cartoon,الكرتون
shots,طلقات
intellectual,الفكرية
moore,مور مور
granted,مُنحت
choices,الخيارات
carbon,الكربون
spending,الإنفاق
comfortable,مريحة
magnetic,المغناطيسي المغناطيسي
interaction,التفاعل
listening,الاستماع
effectively,فعالية
registry,السجل
crisis,الأزمة
outlook,التوقعات
massive,ضخمة
denmark,دنمارك
employed,مستخدمون
bright,مشرق مشرق
treat,علاج
header,ترويسة
cs,سي إس
poverty,الفقر
formed,شكلت
piano,البيانو
echo,صدى
que,ك ك
grid,الشبكة
sheets,أوراق
patrick,لباتريك
experimental,تجريبي تجريبي
puerto,بورتو
revolution,الثورة
consolidation,التوحيد
displays,يعرض
plasma,بلازما
allowing,السماح
earnings,الإيرادات
voip,فويب
mystery,لغز
landscape,المناظر الطبيعية
dependent,المعالون
mechanical,الميكانيكية
journey,رحلة
delaware,ديلاوير
bidding,المزايدة
consultants,الخبراء الاستشاريون
risks,المخاطر
banner,راية
applicant,مقدم الطلب
charter,الميثاق
fig,التين
barbara,باربارا
cooperation,التعاون
counties,المقاطعات
acquisition,الاقتناء
ports,الموانئ
implemented,نُفذت
sf,اس اف
directories,الدلائل الدلائل
recognized,معترف بها
dreams,أحلام
blogger,مدون
notification,الإخطار
kg,كلغ
licensing,ترخيص الترخيص
stands,تقف
teach,تعليم
occurred,حدث
textbooks,الكتب المدرسية
rapid,سريع
pull,سحب
hairy,مشعر
diversity,التنوع
cleveland,كليفلاند
ut,أوت
reverse,عكس
deposit,إيداع الودائع
seminar,حلقة دراسية
investments,الاستثمارات
latina,لاتينا
nasa,ناسا
wheels,عجلات
specify,حدد
accessibility,إمكانية الوصول
dutch,الهولنديّة
sensitive,حساسة
templates,قوالب
formats,تنسيقات
tab,لسان
depends,يعتمد
boots,الأحذية
holds,يحمل
router,راوتر
concrete,ملموسة ملموسة
si,سي سي
editing,التحرير
poland,بولند
folder,مجلّد
womens,نسائي
css,سي إس إس
completion,الإنجاز
upload,تحميل
pulse,نبض
universities,الجامعات
technique,تقنية تقنية
contractors,المتعاقدون
voting,التصويت
courts,المحاكم
notices,إشعارات
subscriptions,الاشتراكات
calculate,احسب
mc,ماك
detroit,ديترويت
alexander,أليكساندر
broadcast,البث الإذاعي
converted,محولة
metro,المترو
toshiba,توشيبا
anniversary,الذكرى السنوية
improvements,التحسينات
strip,قطاع
specification,مواصفات
pearl,لؤلؤ
accident,حادث حادث
nick,نيك نيك
accessible,يمكن الوصول إليها
accessory,ملحق
resident,مقيم
plot,مؤامرة
qty,قتي
possibly,ممكن
airline,شركات الطيران
typically,عادة
representation,التمثيل
regard,الاعتبار
pump,مضخة مضخة
exists,موجود
arrangements,الترتيبات
smooth,سلسة
conferences,المؤتمرات
uniprotkb,يونيبروتكب
strike,إضراب
consumption,الاستهلاك
