"sourceId","english","arabic","stratum","oldDecision"
"101:0","JUST","مجرد","previous-reverse-restriction","{""arabic"":""مجرد"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""adverb""}"
"428:5","LIVE","عش","previous-reverse-restriction","{""arabic"":""عش"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""verb"",""sense"":""live (imperative)""}"
"243:5","FAMILY","الأسرة","previous-reverse-restriction","{""arabic"":""الأسرة"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"384:1","JOBS","وظائف","previous-reverse-restriction","{""arabic"":""وظائف"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"490:0","FINANCIAL","مالي","previous-reverse-restriction","{""arabic"":""مالي"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""adjective""}"
"324:1","SMALL","صغير","previous-reverse-restriction","{""arabic"":""صغير"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""adjective""}"
"380:2","ARTICLE","المقالة","previous-reverse-restriction","{""arabic"":""المقالة"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""piece of writing""}"
"331:1","RETURN","عودة","previous-reverse-restriction","{""arabic"":""عودة"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"510:2","LEGAL","القانوني","previous-reverse-restriction","{""arabic"":""القانوني"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""adjective""}"
"329:1","DURING","خلال","previous-reverse-restriction","{""arabic"":""خلال"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""preposition""}"
"419:2","CONDITIONS","الظروف","previous-reverse-restriction","{""arabic"":""الظروف"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"103:3","STATE","الحالة","previous-reverse-restriction","{""arabic"":""الحالة"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""condition""}"
"367:1","LITTLE","قليل","multiple-sense","{""arabic"":""قليل"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""partOfSpeech"":""adjective / quantifier"",""sense"":""small amount""}"
"235:3","AREA","المنطقة","multiple-sense","{""arabic"":""المنطقة"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""region""}"
"173:1","SET","تعيين","multiple-sense","{""arabic"":""تعيين"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""assignment""}"
"131:2","NUMBER","الرقم","multiple-sense","{""arabic"":""الرقم"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""numeral or identifier""}"
"413:0","LOOK","نظرة","multiple-sense","{""arabic"":""نظرة"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""partOfSpeech"":""noun"",""sense"":""glance""}"
"347:1","CALL","مكالمة","multiple-sense","{""arabic"":""مكالمة"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""partOfSpeech"":""noun"",""sense"":""telephone conversation""}"
"103:4","STATE","الدولة","multiple-sense","{""arabic"":""الدولة"",""status"":""approved"",""register"":""msa"",""partOfSpeech"":""noun"",""sense"":""sovereign country""}"
"394:0","PRINT","بصمة","multiple-sense","{""arabic"":""بصمة"",""status"":""approved"",""register"":""msa"",""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""impression""}"
"302:2","CURRENT","الحالي","multiple-sense","{""arabic"":""الحالي"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""adjective"",""sense"":""present""}"
"458:2","MARCH","مسيرة","multiple-sense","{""arabic"":""مسيرة"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun"",""sense"":""procession""}"
"387:1","SOURCE","مصدر","qa-source-counterexample","{""arabic"":""مصدر"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":false,""partOfSpeech"":""noun""}"
"256:0","WOMEN","نساء","control","{""arabic"":""نساء"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun""}"
"446:0","INDUSTRY","صناعة","control","{""arabic"":""صناعة"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun""}"
"416:1","TEAM","فريق","control","{""arabic"":""فريق"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun""}"
"332:0","STUDENTS","طلاب","control","{""arabic"":""طلاب"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun""}"
"259:0","FILE","ملف","control","{""arabic"":""ملف"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun""}"
"447:1","PLAN","خطة","control","{""arabic"":""خطة"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun""}"
"438:0","LIBRARY","مكتبة","control","{""arabic"":""مكتبة"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun""}"
"525:0","LANGUAGE","لغة","control","{""arabic"":""لغة"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun""}"
"312:2","ART","فن","control","{""arabic"":""فن"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun""}"
"161:0","PRIVACY","خصوصية","control","{""arabic"":""خصوصية"",""status"":""approved"",""register"":""msa"",""preferredForEnToAr"":true,""preferredForArToEn"":true,""partOfSpeech"":""noun""}"
